Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
100,IA_Code,IA,0.05648757889866829,IA,✔️
101,Human_Code,Humano,0.3464358150959015,Humano,✔️
101,IA_Code,IA,0.06005225330591202,IA,✔️
102,Human_Code,Humano,0.07461539655923843,Humano,✔️
102,IA_Code,Humano,0.10447470843791962,IA,❌
103,Human_Code,Humano,0.09734945744276047,Humano,✔️
103,IA_Code,IA,0.06197782978415489,IA,✔️
104,Human_Code,Humano,0.5327157378196716,Humano,✔️
104,IA_Code,IA,0.05843928083777428,IA,✔️
105,Human_Code,Humano,0.08325067907571793,Humano,✔️
105,IA_Code,IA,0.059301286935806274,IA,✔️
106,Human_Code,IA,0.06925829499959946,Humano,❌
106,IA_Code,IA,0.06075044348835945,IA,✔️
107,Human_Code,Humano,0.4905773252248764,Humano,✔️
107,IA_Code,Humano,0.1607216726988554,IA,❌
108,Human_Code,Humano,0.30393750965595245,Humano,✔️
108,IA_Code,IA,0.057754937559366226,IA,✔️
109,Human_Code,Humano,0.12166845798492432,Humano,✔️
109,IA_Code,Humano,0.08312103152275085,IA,❌
110,Human_Code,Humano,0.09211276471614838,Humano,✔️
110,IA_Code,IA,0.061735719442367554,IA,✔️
111,Human_Code,Humano,0.19297385091582933,Humano,✔️
111,IA_Code,IA,0.056060295552015305,IA,✔️
112,Human_Code,IA,0.06420020014047623,Humano,❌
112,IA_Code,IA,0.06314423680305481,IA,✔️
113,Human_Code,Humano,0.07496391236782074,Humano,✔️
113,IA_Code,IA,0.05916399508714676,IA,✔️
114,Human_Code,IA,0.06981910765171051,Humano,❌
114,IA_Code,IA,0.05740334466099739,IA,✔️
115,Human_Code,Humano,0.6003836095333099,Humano,✔️
115,IA_Code,IA,0.05584494769573212,IA,✔️
116,Human_Code,Humano,0.31633663550019264,Humano,✔️
116,IA_Code,IA,0.0564570315182209,IA,✔️
117,Human_Code,Humano,0.20479023456573486,Humano,✔️
117,IA_Code,IA,0.05868426710367203,IA,✔️
118,Human_Code,Humano,0.5536505262056987,Humano,✔️
118,IA_Code,IA,0.06247619539499283,IA,✔️
119,Human_Code,Humano,0.07308215647935867,Humano,✔️
119,IA_Code,IA,0.05960000306367874,IA,✔️
120,Human_Code,Humano,0.46980226039886475,Humano,✔️
120,IA_Code,IA,0.06985564529895782,IA,✔️
121,Human_Code,Humano,0.07435301691293716,Humano,✔️
121,IA_Code,IA,0.0613018237054348,IA,✔️
122,Human_Code,Humano,0.12069697678089142,Humano,✔️
122,IA_Code,IA,0.06477782130241394,IA,✔️
123,Human_Code,Humano,0.07566885650157928,Humano,✔️
123,IA_Code,IA,0.06587733328342438,IA,✔️
124,Human_Code,Humano,0.07680951803922653,Humano,✔️
124,IA_Code,Humano,0.07497452199459076,IA,❌
125,Human_Code,Humano,0.17825274169445038,Humano,✔️
125,IA_Code,IA,0.05803363025188446,IA,✔️
126,Human_Code,Humano,0.3124706409871578,Humano,✔️
126,IA_Code,IA,0.05906617268919945,IA,✔️
127,Human_Code,Humano,0.09204768389463425,Humano,✔️
127,IA_Code,IA,0.06014826521277428,IA,✔️
128,Human_Code,Humano,0.07378057390451431,Humano,✔️
128,IA_Code,IA,0.06279931217432022,IA,✔️
129,Human_Code,Humano,0.3959324210882187,Humano,✔️
129,IA_Code,IA,0.05732147395610809,IA,✔️
130,Human_Code,Humano,0.6876726150512695,Humano,✔️
130,IA_Code,IA,0.062418002635240555,IA,✔️
131,Human_Code,IA,0.06938549131155014,Humano,❌
131,IA_Code,IA,0.0634433776140213,IA,✔️
132,Human_Code,Humano,0.5373892784118652,Humano,✔️
132,IA_Code,IA,0.06463149189949036,IA,✔️
133,Human_Code,Humano,0.07734956592321396,Humano,✔️
133,IA_Code,IA,0.0551360584795475,IA,✔️
134,Human_Code,Humano,0.07031334936618805,Humano,✔️
134,IA_Code,IA,0.06239158287644386,IA,✔️
135,Human_Code,Humano,0.08021789789199829,Humano,✔️
135,IA_Code,Humano,0.12447900325059891,IA,❌
136,Human_Code,Humano,0.07302983850240707,Humano,✔️
136,IA_Code,IA,0.059739962220191956,IA,✔️
137,Human_Code,Humano,0.15784180164337158,Humano,✔️
137,IA_Code,IA,0.057912543416023254,IA,✔️
138,Human_Code,Humano,0.5984787940979004,Humano,✔️
138,IA_Code,IA,0.059927284717559814,IA,✔️
139,Human_Code,Humano,0.5065873265266418,Humano,✔️
139,IA_Code,IA,0.05811087042093277,IA,✔️
140,Human_Code,Humano,0.41532177105546,Humano,✔️
140,IA_Code,IA,0.05882706865668297,IA,✔️
141,Human_Code,Humano,0.24510130286216736,Humano,✔️
141,IA_Code,IA,0.05876360461115837,IA,✔️
142,Human_Code,IA,0.06037105247378349,Humano,❌
142,IA_Code,IA,0.06030896306037903,IA,✔️
143,Human_Code,Humano,0.1342441439628601,Humano,✔️
143,IA_Code,IA,0.06016881391406059,IA,✔️
144,Human_Code,Humano,0.21769799292087555,Humano,✔️
144,IA_Code,IA,0.05835111811757088,IA,✔️
145,Human_Code,Humano,0.6817620396614075,Humano,✔️
145,IA_Code,IA,0.059418655931949615,IA,✔️
146,Human_Code,Humano,0.09228696674108505,Humano,✔️
146,IA_Code,IA,0.06114141643047333,IA,✔️
147,Human_Code,Humano,0.16935640573501587,Humano,✔️
147,IA_Code,IA,0.060683004558086395,IA,✔️
148,Human_Code,Humano,0.07534227520227432,Humano,✔️
148,IA_Code,IA,0.05849919840693474,IA,✔️
149,Human_Code,Humano,0.45126600563526154,Humano,✔️
149,IA_Code,IA,0.06038888171315193,IA,✔️
150,Human_Code,Humano,0.37672287225723267,Humano,✔️
150,IA_Code,IA,0.06274741142988205,IA,✔️
151,Human_Code,Humano,0.0854002833366394,Humano,✔️
151,IA_Code,IA,0.058036625385284424,IA,✔️
152,Human_Code,Humano,0.1488824039697647,Humano,✔️
152,IA_Code,IA,0.0585363395512104,IA,✔️
153,Human_Code,Humano,0.07886753231287003,Humano,✔️
153,IA_Code,IA,0.06219586357474327,IA,✔️
154,Human_Code,Humano,0.532226026058197,Humano,✔️
154,IA_Code,IA,0.05927294120192528,IA,✔️
155,Human_Code,IA,0.06850623339414597,Humano,❌
155,IA_Code,IA,0.058333620429039,IA,✔️
156,Human_Code,IA,0.05999767407774925,Humano,❌
156,IA_Code,IA,0.05749519169330597,IA,✔️
157,Human_Code,Humano,0.24441815167665482,Humano,✔️
157,IA_Code,IA,0.06074383482336998,IA,✔️
158,Human_Code,Humano,0.10314473509788513,Humano,✔️
158,IA_Code,IA,0.05659346282482147,IA,✔️
159,Human_Code,Humano,0.07483383268117905,Humano,✔️
159,IA_Code,IA,0.05688263475894928,IA,✔️
160,Human_Code,Humano,0.34200626611709595,Humano,✔️
160,IA_Code,Humano,0.08853442221879959,IA,❌
161,Human_Code,Humano,0.10530684515833855,Humano,✔️
161,IA_Code,IA,0.0613766573369503,IA,✔️
162,Human_Code,IA,0.06705395132303238,Humano,❌
162,IA_Code,IA,0.06002181023359299,IA,✔️
163,Human_Code,Humano,0.2623004876077175,Humano,✔️
163,IA_Code,IA,0.06507574021816254,IA,✔️
164,Human_Code,Humano,0.23975981399416924,Humano,✔️
164,IA_Code,IA,0.06021890416741371,IA,✔️
